symbol,close,med_turnover_cr,days
KFINTECH,884.8,66.91538826,20
BLUESTARCO,1483.0,66.828415405,20
PPLPHARMA,203.47,66.705035396,20
LEAPIND,134.61,65.8951791855,20
TECHNOCRAF,424.35,65.71679178,20
SKYGOLD,789.4,65.44670999,20
IRFC,79.15,65.107371834,20
HBLENGINE,720.15,65.004002805,20
MFSL,1425.9,64.887081905,20
BEML,1939.3,64.86132125,20
PATANJALI,338.55,64.8125970925,20
ENGINERSIN,262.45,64.729640569,20
SKIPPER,534.15,63.53509206,20
JINDALSAW,289.0,63.2331994125,20
DABUR,384.9,62.696695795,20
PVRINOX,1221.0,62.226239915,20
GRAPHITE,781.5,62.0280236575,20
KPITTECH,563.0,61.954500555,20
LLOYDSME,1778.8,61.860940175,20
PAGEIND,34580.0,61.532088,20
MARKSANS,312.85,60.9033612825,20
OBEROIRLTY,1668.5,60.787539100000004,20
SHREEJISPG,684.0,59.961869750000005,20
TATAELXSI,3440.0,59.831764295,20
ACMESOLAR,420.4,59.740644620000005,20
DELHIVERY,420.5,59.558563899999996,20
AEROFLEX,507.6,58.79951361500001,20
MANINDS,808.2,58.414346159999994,20
JINDWORLD,49.44,57.6645427725,20
PHOENIXLTD,1833.6,56.671830795,20
ZENTEC,1638.9,56.43796601,20
FLUOROCHEM,4601.3,56.198494374999996,20
ICICIPRULI,457.6,55.42819551,20
SRF,2455.2,55.396846499999995,20
AEQUS,221.52,55.378919839999995,20
SUPREMEIND,3300.0,54.8596335,20
AMBUJACEM,381.75,54.484061055,20
PGEL,518.0,53.637666689999996,20
COLPAL,1820.3,53.098760025000004,20
BLUESTONE,828.55,52.729812890000005,20
SANSERA,3871.7,52.67192872,20
ALKEM,5161.0,52.18029135,20
BALAMINES,2105.7,52.055748789999996,20
PARADEEP,149.34,51.509462410999994,20
DEEPAKNTR,1561.3,51.37596825999999,20
KISSHT,339.55,50.51557493,20
RUBICON,1815.6,50.094529925,20
EMMVEE,328.55,50.093462562499994,20
RENUKA,23.49,49.873730064,20
MARSONS,121.3,49.592387766,20
XTRANET,276.09,49.321151146,20
RKFORGE,688.2,48.225472845,20
INOXINDIA,1992.8,48.139308480000004,20
TIINDIA,2525.0,47.9382743,20
EBGNG,671.45,47.83047763,20
INDIAGLYCO,1111.7,47.753044394999996,10
CYIENTDLM,882.7,47.724926800000006,20
LIQUIDADD,1144.75,47.537478836999995,20
PETRONET,283.95,47.264353099999994,20
ASTRAMICRO,1593.8,46.58790124,20
JUBLFOOD,466.0,46.55717025,20
LIQUIDPLUS,1103.18,45.88675982950001,20
HDFCGOLD,127.88,45.64695070249999,20
EMAMILTD,373.7,45.4635853575,20
KARURVYSYA,324.45,45.353331069999996,20
SETL,444.75,45.31966068,20
BAJAJCON,503.8,44.9792852025,20
DCBBANK,221.89,44.834293581000004,20
SCI,269.05,44.583183885,20
AWL,183.14,43.960739776,20
THANGAMAYL,4912.0,43.668273475,20
CRAFTSMAN,11099.0,43.40337405,20
BAJAJHLDNG,11100.0,42.6570134,20
NAZARA,357.4,42.5285847,20
NBCC,80.69,42.527101200000004,20
IPCALAB,1932.4,42.13054138,20
CONCOR,483.7,41.8438801975,20
CUB,225.78,41.793434535,20
NUVAMA,1668.2,41.7910146,20
VEDPOWER,31.68,41.671304633999995,20
SHANTIGOLD,247.89,41.502506894,20
VINCOFE,166.54,41.430648601,20
LLOYDSENGG,79.71,41.351644236,20
PIIND,2255.0,40.742997224999996,20
WELENT,737.6,40.56646064499999,20
IREDA,109.0,40.275314631,20
GUJENERGY,243.56,40.2425307895,20
NH,1894.9,40.111315335,20
GMDCLTD,553.45,39.940719292500006,20
FMGOETZE,445.65,39.923034529999995,20
SUDARSCHEM,1183.2,39.734765915,20
TENNIND,512.9,39.006216425,20
TITAGARH,811.45,38.853518720000004,20
SBC,47.73,38.823921677499996,20
LIQUIDIETF,999.99,38.578314213,20
ARVIND,550.6,38.25919980250001,20
STYLEBAAZA,376.05,38.199785325,20
TIMETECHNO,176.3,38.117129218,20
QPOWER,1355.2,38.070941335,20
DECNGOLD,222.82,38.032171055999996,20
THERMAX,3559.4,38.02200173,20
IEX,112.0,37.8186446875,20
TATACOMM,1748.2,37.76167908000001,20
MANORAMA,1987.1,37.714281095000004,20
SMLMAH,6254.0,37.627630625,20
JSL,723.55,37.57120836,20
SHAILY,3181.8,37.52862711,20
NORTHARC,294.2,37.308696205,20
KIMS,766.85,37.226373107499995,20
SHREECEM,21905.0,37.065012499999995,20
GODFRYPHLP,1915.0,37.0479153,20
MRF,125795.0,37.018425500000006,20
POONAWALLA,434.6,37.00744034,20
JINDRILL,598.65,36.335667905,20
AARTIIND,468.7,35.9163991775,20
AETHER,1583.1,35.512611275000005,20
JAYNECOIND,88.63,35.327517484999994,20
WHEELS,2129.1,35.239274885,20
KERNEX,1656.3,34.91184446,20
DEEPINDS,730.4,34.8481827425,20
PARAGMILK,252.15,34.8171980375,20
DYCL,432.6,34.786226899999996,20
ANANDRATHI,2183.9,34.721715059999994,20
TATACAP,353.35,34.47401639500001,20
SBCL,1020.2,34.442475765,20
CMPDI,203.74,33.654159151,20
TORNTPOWER,1300.9,33.60112459,20
SOUTHBANK,45.0,33.6004532755,20
RBA,95.23,33.450715250500004,20
STAR,1150.6,33.400299455,20
CORDELIA,112.33,33.3920989585,20
HONASA,457.25,33.022926135000006,20
ACE,1132.1,32.9910306,20
CREDITACC,1409.6,32.738163475,20
MSUMI,35.06,32.727373669,20
AARTIPHARM,789.45,32.626439925,20
ECLERX,1894.8,32.61978963999999,20
SUDEEPPHRM,1142.7,32.592076855,20
LALPATHLAB,1906.4,32.55369366000001,20
HORIZONIND,53.59,32.464820787,17
GOODLUCK,519.15,32.459978725,20
SHRIPISTON,4275.4,32.39613366,20
GICRE,338.2,32.20128587000001,20
SCHNEIDER,1193.1,32.0888721,20
NATCOPHARM,819.15,32.07189424,20
VIKRAMSOLR,163.46,32.057830326,20
RPOWER,21.03,32.0443257095,20
SOLARA,715.8,31.980679844999997,20
RATEGAIN,878.65,31.979480612499998,20
VOLTAMP,10596.0,31.754240199999998,20
OLECTRA,1179.2,31.725819015,20
ANURAS,1170.4,31.643669975,20
GPIL,237.16,31.623504603,20
BANKBEES,579.33,31.579553714999996,20
TATACHEM,734.9,31.428380699999998,20
GCSL,601.55,31.416025490000003,20
ARE&M,799.55,31.307963824999998,20
NLCINDIA,261.05,31.135981959999995,20
SJS,2311.7,31.048831555,20
NEOGEN,2310.3,30.99117872,20
TI,510.75,30.87316476,20
ZENSARTECH,440.2,30.7641760275,20
MEDANTA,1418.1,30.75554916,20
ATGL,580.15,30.473114629999998,20
CLEANMAX,1321.5,30.449858565,20
JMFINANCIL,121.21,30.449405468,20
ELGIEQUIP,612.05,30.174604942500004,20
KRN,1514.0,30.15113133,20
OMNI,540.3,29.9344399125,20
CAPLIPOINT,2570.6,29.873971349999998,20
ENDURANCE,2614.6,29.766948624999998,20
BSOFT,286.45,29.712768367499997,20
NEWGEN,499.35,29.693890425,20
PNGJL,611.6,29.680225425000003,20
COHANCE,423.6,29.580052432499997,20
DEVYANI,136.22,29.47549689,20
TARIL,277.95,29.4456531,20
AKUMS,765.65,29.1771666275,20
SBISILVER,220.12,29.120610757,20
SEDEMAC,2950.7,29.094786120000002,20
TEGA,1671.1,29.071903855,20
KEC,406.9,28.927447075,20
PCBL,314.05,28.80181221,20
BECTORFOOD,223.4,28.752802943,20
IRCTC,458.55,28.720948002500002,20
GABRIEL,1300.5,28.661326269999996,20
KRBL,397.15,28.594755454999998,20
EIDPARRY,702.75,28.577431649999998,20
JAINREC,274.7,28.5644691625,20
GUJTHEM,430.45,28.429043349999997,20
CONFIPET,86.1,28.413531304,20
YATHARTH,981.8,28.383034085000002,20
MIDHANI,405.85,28.299651939999997,20
QUADFUTURE,484.6,28.076944575,20
ENTERO,1802.1,27.904944569999998,20
63MOONS,864.0,27.6154321275,20
JUNIORBEES,762.71,27.470578918,20
GNFC,540.6,27.469963279999998,20
MARINE,376.75,27.200289474999998,20
DEEPAKFERT,1284.8,27.191999624999998,20
RHETAN,22.81,27.188829605,20
SSWL,339.0,27.18504918,20
LIQUIDBETF,1098.82,27.118243495,20
JTLIND,82.47,26.939345751,20
RAMBHAJO,253.22,26.908832714,20
SONATSOFTW,281.3,26.87702076,20
MOSCHIP,203.02,26.876224417,20
HDBFS,664.7,26.8504590925,20
GPPL,161.18,26.819673389000002,20
RPTECH,797.35,26.728462982499998,20
CEMPRO,1207.1,26.5108576,20
GOLDAXIS,124.35,26.505154529000002,20
EMIL,185.06,26.408348208,20
ASIANTILES,50.03,26.391657398,20
ASIANENE,485.25,26.3499293,20
ICIL,427.1,26.32542284,20
USHAMART,480.25,26.319951690000003,20
